,MUNICIPALITI,NON_STARTED_WORKS,WORKS_IN_PROGRESS,FINISHED_WORKS,TOTAL_WORKS,AMOUNT_ALLOCATED,PAYED_AMOUNT,MCS_DAMAGE
0,BONDENO,63.0,8.0,17.0,88.0,14607640.349999998,5106087.780000001,6.0
1,CAVEZZO,23.0,2.0,9.0,34.0,9500166.170000002,5293832.949999999,8.0
2,CENTO,45.0,14.0,12.0,71.0,16339104.37,10533536.430000002,6.0
3,CONCORDIA SULLA SECCHIA,23.0,4.0,1.0,28.0,11746618.68,2317016.46,7.5
4,CREVALCORE,28.0,10.0,7.0,45.0,10240334.11,6451115.8100000005,6.5
5,FINALE EMILIA,57.0,3.0,6.0,66.0,15792384.480000002,1827941.5,7.0
6,MEDOLLA,18.0,1.0,1.0,20.0,1618308.9400000002,882265.8300000001,6.0
7,MIRABELLO,6.0,2.0,6.0,14.0,53568.51,194834.07,6.5
8,MIRANDOLA,65.0,9.0,18.0,92.0,32041284.160000008,13439850.000000002,7.5
9,NOVI DI MODENA,33.0,2.0,8.0,43.0,8169413.88,5288251.28,7.5
10,PIEVE DI CENTO,10.0,2.0,14.0,26.0,5275617.23,4239175.55,6.0
11,POGGIO RENATICO,12.0,4.0,3.0,19.0,6618297.03,2082660.5799999998,6.0
12,REGGIOLO,17.0,5.0,14.0,36.0,15248887.140000002,7573911.38,7.0
13,SAN FELICE SUL PANARO,25.0,1.0,10.0,36.0,6067993.78,3591547.51,7.0
14,SAN POSSIDONIO,11.0,0.0,1.0,12.0,1846546.35,196325.0,6.0
15,SAN PROSPERO,12.0,3.0,4.0,19.0,7578415.4,1202115.7799999998,6.0
16,VIGARANO MAINARDA,3.0,3.0,0.0,6.0,776785.11,748034.33,5.1
17,CAMPOSANTO,,,,,,,6.5
18,SANT'AGOSTINO,,,,,,,6.0
