COMUNE;STATE_SCHOOLS_SCORE_2015_2016;NUMBER_OF_SCHOOLS;ABSENT_CERTIFICATE_AGIBILITY_HABITABILITY;ABSENT_DOCUMENT_RISK_EVALUATION;ABSENT_EMERGENCY_PLAN;STATE_SCHOOLS_SCORE_2016_2017;ENVIRONMENTAL_CONSTRAINTS;OLD_BUILDING;ABSENT_ANTISEISMIC_PLAN;HYDROGEOLOGIC_CONSTRAINTS;PARITARY_SCHOOLS_SCORE_2015_2016;PARITARY_SCHOOLS_SCORE_2016_2017
BONDENO;425;10;;;;55;10;;10;;;
CAVEZZO;375;10;40;;;35;;;10;;;
CENTO;4.33E+15;70;240;40;40;425;;;90;;50;50
CONCORDIA SULLA SECCHIA;40;10;40;40;40;375;;;;;;
CREVALCORE;425;20;;;;50;;;20;;;
FINALE EMILIA;4.82E+15;30;120;40;40;4.86E+15;;;40;;;
MIRANDOLA;43;40;40;40;40;475;;;20;;;
NOVI DI MODENA;40;10;;;;375;;;;;;
PIEVE DI CENTO;525;10;40;;;525;;;10;;;
POGGIO RENATICO;425;10;;;;425;;;;;;
REGGIOLO;30;10;;;;35;;10;10;;;
SAN FELICE SUL PANARO;45;10;40;40;40;45;;;10;;;
SAN PROSPERO;425;10;40;40;40;525;;;;;;
VIGARANO MAINARDA;425;10;;;;425;;;10;;;
MEDOLLA;;;;;;;;;;;;
MIRABELLO;;;;;;;;;;;;
SAN POSSIDONIO;;;;;;;;;;;;
CAMPOSANTO;;;;;;;;;;;;
SANT'AGOSTINO;;;;;;;;;;;;
